tags_id_media,url,name,description
9349925,https://sources.mediacloud.org/#/collections/9349925,TV News Channels,"Content from the closed captions of major american TV news stations and shows. Each source is the TV station; each story represents a ""segment"" within a show; the title of a story is the TV show the segment is from. This content, and the automated segment detection, is thanks to the MIT Media Lab SuperGlue project."
8875033,https://sources.mediacloud.org/#/collections/8875033,Tech Blogs,Top 100 Tech blogs according to technorati in 2010-07.
8875107,https://sources.mediacloud.org/#/collections/8875107,Technorati Tech Blogs,Top 100 tech blogs according to technorati in 2010.
117,https://sources.mediacloud.org/#/collections/117,Technorati U.S. Political Blogs 2008,List of top U.S. politics blogs according to Technorati in 2008.
8875112,https://sources.mediacloud.org/#/collections/8875112,The White House,A set consisting of only the single White House media source. Added in the fall of 2010.
125,https://sources.mediacloud.org/#/collections/125,U.S. Campaigns and Elections 2008,"List of sites related to U.S. politics, created for Yochai Benkler and Aaron Shaw's paper ""A Tale of Two Blogospheres: Discursive Practices on the Left and Right"", published in 2010."
8875027,https://sources.mediacloud.org/#/collections/8875027,U.S. Mainstream Media,Top U.S. mainstream media according Google Ad Planner's measure of unique monthly users. Created in October 2010.
8878292,https://sources.mediacloud.org/#/collections/8878292,U.S. Partisan Sources 2012 - Conservative,List of sites generated by clustering and manually sites discussion the 2012 U.S. presidential election. This set includes only sources coded as clearly conservative.
8878293,https://sources.mediacloud.org/#/collections/8878293,U.S. Partisan Sources 2012 - Liberal,List of sites generated by clustering and manually sites discussion the 2012 U.S. presidential election. This set includes only sources coded as clearly liberal.
8878294,https://sources.mediacloud.org/#/collections/8878294,U.S. Partisan Sources 2012 - Libertarian,List of sites generated by clustering and manually sites discussion the 2012 U.S. presidential election. This set includes only sources coded as clearly libertarian.
8875108,https://sources.mediacloud.org/#/collections/8875108,U.S. Political Blogs,"Most influential U.S. political blogs according to technorati in 2010-07, manually verified for focus on politics."
8875110,https://sources.mediacloud.org/#/collections/8875110,U.S. Political Blogs - Center,"Most influential liberal U.S. political blogs according to technorati in 2010-07, manually verified for focus on politics and coded as neither liberal nor conservative."
8875113,https://sources.mediacloud.org/#/collections/8875113,U.S. Political Blogs - Center - Top 25,"25 most influential liberal U.S. political blogs according to technorati in 2010-07, manually verified for focus on politics and coded as neither liberal nor conservative."
8875111,https://sources.mediacloud.org/#/collections/8875111,U.S. Political Blogs - Conservative,"Most influential liberal U.S. political blogs according to technorati in 2010-07, manually verified for focus on politics and coded as conservative."
8875115,https://sources.mediacloud.org/#/collections/8875115,U.S. Political Blogs - Conservative - Top 25,"25 most influential liberal U.S. political blogs according to technorati in 2010-07, manually verified for focus on politics and coded as conservative."
8875109,https://sources.mediacloud.org/#/collections/8875109,U.S. Political Blogs - Liberal,"Most influential liberal U.S. political blogs according to technorati in 2010-07, manually verified for focus on politics and coded as liberal."
8875114,https://sources.mediacloud.org/#/collections/8875114,U.S. Political Blogs - Liberal - Top 25,"25 most influential liberal U.S. political blogs according to technorati in 2010-07, manually verified for focus on politics and coded as liberal."
8875028,https://sources.mediacloud.org/#/collections/8875028,U.S. Popular Blogs,Most popular U.S. blogs according to blogline's list of top blogs in 2009-10.
2453107,https://sources.mediacloud.org/#/collections/2453107,U.S. Regional Mainstream Media,"Large list of regional TV and newspapers sites, collected by Pew in 2010."
9139458,https://sources.mediacloud.org/#/collections/9139458,U.S. Top Digital Native News,Top 50 digital native news sites according to Pew / Comscore as of 2015.
9139487,https://sources.mediacloud.org/#/collections/9139487,U.S. Top Online News,op 50 online news sites according to Pew / Comscore as of 2015.
129,https://sources.mediacloud.org/#/collections/129,U.S. Wire Services,"Reuters, AP, and McClatchy. Created in October 2010."
9315147,https://sources.mediacloud.org/#/collections/9315147,UK National ABYZ,UK National sources from ABYZ News Links.
9297151,https://sources.mediacloud.org/#/collections/9297151,US Hispanic Election,US-based hispanic sources used in our 2016 election investigation.
118,https://sources.mediacloud.org/#/collections/118,Yahoo U.S. Political Blogs 2008,Yahoo U.S. Political Blogs 2008 List of top U.S. politics blogs according to Yahoo in 2008.
9361976,https://sources.mediacloud.org/#/collections/9361976,germany_rightwing_kaiser_20170725,"Right wing german media sources, collection created for Berkman Fellows"
