stories_id,count,stem,term
24836006,1,chunk,chunk
24836006,1,vulner,vulnerable
24836006,1,investor,investors
24836006,1,for,for
24836006,1,soon-to-be-publish,soon-to-be-published
24836006,1,elsa,elsa
24836006,1,matern,maternity
24836006,1,accommod,accommodating
24836006,1,fairest,fairest
24836006,1,unclear,unclear
24836006,1,ian,ian
24836006,1,recipi,recipients
24836006,1,greec,greece
24836006,1,decreas,decreased
24836006,2,minist,minister
24836006,2,above-averag,above-average
24836006,1,third-highest,third-highest
24836006,2,subsidi,subsidy
24836006,1,tobacco,tobacco
24836006,1,formid,formidable
24836006,1,grappl,grapple
24836006,1,allay,allay
24836006,2,outlay,outlays
24836006,2,luci,lucy
24836006,5,elkin,elkin
24836006,1,times,times
24836006,1,locomot,locomotive
24836006,2,franc,france
24836006,1,new,new
24836006,1,generos,generosities
24836006,2,economist,economist
24836006,1,slice,slice
24836006,1,notori,notorious
24836006,1,curb,curb
24836006,1,alcohol,alcohol
24836006,1,free-market-ori,free-market-oriented
24836006,1,debt-plagu,debt-plagued
24836006,1,pad,padding
24836006,1,york,york
24836006,1,econom,economic
24836006,1,economi,economy
24836006,1,advoc,advocates
24836007,1,bloomberg,bloomberg
24836007,1,bob,bob
24836007,1,tap,tapped
24836007,2,scream,screaming
24836007,1,unemploy,unemployment
24836007,2,global,global
24836007,9,treasuri,treasury
24836007,3,rescu,rescue
24836007,1,children,children
24836007,1,banker,banker
24836007,1,brian,brian
24836007,1,boast,boast
24836007,1,reckon,reckons
24836007,2,meltdown,meltdown
24836007,1,paulsen,paulsen
24836007,2,homeown,homeowners
24836007,2,mortgag,mortgage
24836007,2,foreclosur,foreclosure
24836007,1,stabil,stabilized
24836007,1,mae,mae
24836007,3,elliott,elliott
24836007,1,minnesota,minnesota
24836007,1,offset,offset
24836007,2,expir,expire
24836007,1,loser,loser
24836007,4,american,americans
24836007,1,freddi,freddie
24836007,1,re-elect,re-election
24836007,9,tarp,tarp
24836007,1,interven,intervening
24836007,1,campaign,campaign
24836007,4,republican,republicans
24836007,1,utah,utah
24836007,1,robert,robert
24836007,1,talli,tally
24836007,6,taxpay,taxpayers
24836007,1,modifi,modify
24836007,3,obama,obama
24836007,1,collater,collateral
24836007,1,reson,resonate
24836007,1,tea,tea
24836007,1,bush,bush
24836007,2,repay,repayments
24836007,1,democrat,democrat
24836007,2,overhaul,overhaul
24836007,1,washington,washington
24836007,1,midterm,midterm
24836007,1,deficit,deficit
24836007,1,fanni,fannie
24836007,1,asset,assets
24836007,1,erik,erik
24836007,1,recess,recession
24836007,4,bailout,bailout
24836007,1,enact,enacted
24836007,2,geithner,geithner
24836007,1,economist,economist
24836007,2,dividend,dividends
24836007,1,chrysler,chrysler
24836007,1,mac,mac
24836007,1,hurt,hurting
24836007,2,economi,economy
24836007,1,prop,prop
24836007,1,spawn,spawned
24836007,1,stoke,stoke
24836007,1,plutocrat,plutocrats
24836007,1,stimulus,stimulus
24836007,1,poll,poll
24836007,1,four-lett,four-letter
24836007,2,crisi,crisis
24836007,1,tank,tank
24836007,1,supplier,suppliers
24836007,1,grandchildren,grandchildren
24836007,1,bethun,bethune
24836007,1,squeez,squeezed
24836007,1,re-nomin,re-nominate
24836007,1,trail,trailing
24836007,1,best-cas,best-case
24836007,1,unsuccess,unsuccessfully
24836007,1,ire,ire
24836007,1,despis,despised
24836007,1,timothi,timothy
24836007,1,dougla,douglas
24836007,2,bennett,bennett
24836007,1,repaid,repaid
24836007,1,mid-2009,mid-2009
24836007,1,broader,broader
24836007,1,brook,brookings
24836007,1,corpor,corporate
24836007,1,drastic,drastically
24836007,1,disburs,disbursed
24836007,1,ih,ihs
24836007,1,once-unthink,once-unthinkable
24836007,1,nomin,nominating
24836007,1,recycl,recycle
24836008,1,léo,léo
24836008,1,realm,realm
24836008,2,server,servers
24836008,1,lawsuit,lawsuits
24836008,1,resign,resigned
24836008,1,printer,printers
24836008,1,privileg,privilege
24836008,1,recov,recover
24836008,1,layoff,layoffs
24836008,1,ross,ross
24836008,1,recruit,recruitment
24836008,1,encroach,encroaching
24836008,1,void,void
24836008,2,tap,tapped
24836008,1,ray,ray
24836008,9,sap,sap
24836008,2,marten,martens
24836008,1,turf,turf
24836008,1,smartphon,smartphone
24836008,1,jefferi,jefferies
24836008,1,san,san
24836008,2,barnicl,barnicle
24836008,1,violat,violated
24836008,2,exit,exit
24836008,1,co-chief,co-chief
24836008,1,rampant,rampant
24836008,1,deem,deemed
24836008,1,china,china
24836008,1,pacif,pacific
24836008,4,macmillan,macmillan
24836008,1,vern,verne
24836008,3,hardwar,hardware
24836008,1,fame,fame
24836008,1,europ,europe
24836008,1,lawrenc,lawrence
24836008,1,spark,spark
24836008,1,kopytoff,kopytoff
24836008,2,stint,stints
24836008,2,german,german
24836008,1,icon,iconic
24836008,1,stamp,stamped
24836008,1,specul,speculation
24836008,1,buyer,buyers
24836008,1,aggress,aggressiveness
24836008,1,runner,runner
24836008,1,caufield,caufield
24836008,1,polish,polished
24836008,1,abbrevi,abbreviated
24836008,2,contractor,contractor
24836008,1,vacant,vacant
24836008,1,francisco,francisco
24836008,17,apothek,apotheker
24836008,1,palm,palm
24836008,11,softwar,software
24836008,3,analyst,analyst
24836008,1,pragmat,pragmatism
24836008,2,revit,revitalize
24836008,1,oust,ousted
24836008,1,perkin,perkins
24836008,1,revolt,revolt
24836008,1,brendan,brendan
24836008,1,fierc,fierce
24836008,1,competitor,competitors
24836008,1,abras,abrasive
24836008,1,butt,butt
24836008,1,ellison,ellison
24836008,2,hewlett-packard,hewlett-packard
24836008,1,crest,crest
24836008,1,lacklust,lackluster
24836008,1,seller,seller
24836008,1,outright,outright
24836008,1,nonexecut,nonexecutive
24836008,1,kleiner,kleiner
24836008,1,byer,byers
24836008,1,pcs,pcs
24836008,1,lukewarm,lukewarm
24836008,1,tread,tread
24836008,1,after-hour,after-hours
24836008,1,shortcom,shortcoming
24836008,2,lane,lane
24836008,1,innov,innovative
24836008,1,acquisit,acquisition
24836008,1,microsoft,microsoft
24836008,1,expertis,expertise
24836008,1,mesh,meshes
24836008,7,oracl,oracle
24836008,1,intrigu,intriguing
24836008,1,co-presid,co-president
24836008,2,investor,investors
24836008,1,tenur,tenure
24836008,7,hurd,hurd
24836008,1,ridicul,ridiculed
24836009,1,laps,lapses
24836009,1,umbrella,umbrella
24836009,2,defici,deficiencies
24836009,1,contradict,contradicted
24836009,1,washington,washington
24836009,1,overhaul,overhaul
24836009,1,surgeri,surgery
24836009,1,assert,asserted
24836009,1,william,william
24836009,1,pill,pills
24836009,1,pa,pa
24836009,1,tylenol,tylenol
24836009,1,frustrat,frustrating
24836009,2,shelv,shelves
24836009,1,phantom,phantom
24836009,1,high-qual,high-quality
24836009,2,healthcar,healthcare
24836009,1,joshua,joshua
24836009,1,undertook,undertook
24836009,12,johnson,johnson
24836009,1,infant,infants'
24836009,1,republican,republicans
24836009,1,shortag,shortages
24836009,1,vial,vials
24836009,1,oversight,oversight
24836009,4,sharfstein,sharfstein
24836009,1,darrel,darrell
24836009,1,deputi,deputy
24836009,1,acknowledg,acknowledged
24836009,1,crimin,criminal
24836009,1,testifi,testify
24836009,4,lawmak,lawmakers
24836009,4,children,children
24836009,1,california,california
24836009,1,careless,carelessness
24836009,4,mcneil,mcneil
24836009,1,sweep,sweeping
24836009,2,motrin,motrin
24836009,1,overse,overseeing
24836009,1,retail,retailers
24836009,1,issa,issa
24836009,5,weldon,weldon
24836010,1,problemat,problematic
24836010,1,linda,linda
24836010,2,florida,florida
24836010,1,taint,tainted
24836010,2,exceed,exceed
24836010,1,louisiana,louisiana
24836010,1,emit,emits
24836010,1,accommod,accommodating
24836010,1,corros,corrosive
24836010,6,taxpay,taxpayers
24836010,1,large-scal,large-scale
24836010,1,randal,randall
24836010,1,rip,ripped
24836010,1,bogdon,bogdon
24836010,1,democrat,democrat
24836010,1,sulfur,sulfur
24836010,1,applianc,appliances
24836010,1,subsequ,subsequent
24836010,1,china,china
24836010,1,nationwid,nationwide
24836010,1,flor,flor
24836010,1,casualti,casualty
24836010,1,corrod,corrodes
24836010,1,nelson,nelson
24836010,1,hunter,hunter's
24836010,1,gari,gary
24836010,1,complaint,complaints
24836010,1,victim,victims
24836010,1,lender,lenders
24836010,12,drywal,drywall
24836010,1,overdu,overdue
24836010,6,homeown,homeowners
24836010,1,congress,congress
24836010,6,tax,tax
24836010,1,defect,defective
24836010,2,reimburs,reimbursement
24836010,1,compens,compensated
24836010,1,recov,recover
24836010,1,unreimburs,unreimbursed
24836010,1,air-condition,air-conditioners
24836010,1,lawsuit,lawsuits
24836010,2,pend,pending
24836010,2,mortgag,mortgage
24836010,1,fume,fumes
24836010,6,deduct,deduction
24836012,1,cargo,cargo
24836012,1,setback,setback
24836012,4,freighter,freighter
24836012,2,747-8,747-8
24836012,1,hurt,hurting
24836012,1,mid-2011,mid-2011
24836012,1,long-delay,long-delayed
24836012,1,chicago,chicago
24836012,1,intercontinent,intercontinental
24836012,7,boe,boeing
24836012,1,dreamlin,dreamliner
24836013,2,rent-a-car,rent-a-car
24836013,2,sweeten,sweetener
24836013,1,acceler,accelerate
24836013,1,maneuv,maneuver
24836013,1,stand,standing
24836013,1,maxim,maximize
24836013,1,rental,rental
24836013,1,vote,vote
24836013,2,acquisit,acquisition
24836013,10,avi,avis
24836013,1,five-month,five-month
24836013,1,withdraw,withdraw
24836013,12,hertz,hertz
24836013,1,spokesman,spokesman
24836013,9,thrifti,thrifty
24836013,1,victor,victor
24836013,3,breakup,breakup
24836013,1,hint,hinted
24836013,1,ceas,cease
24836013,1,bid,bid
24836013,1,scott,scott
24836013,7,sharehold,shareholders
24836013,1,last-minut,last-minute
24836013,1,dollar,dollar
24836013,3,takeov,takeover
24836013,1,against,against
24836013,1,global,global
24836013,1,lucrat,lucrative
24836013,1,months-long,months-long
24836013,2,antitrust,antitrust
24836013,1,automot,automotive
24836013,1,option,options
24836013,1,leav,leaving
24836013,1,clash,clash
24836013,2,frissora,frissora
24836013,2,thompson,thompson
24836013,1,chicago,chicago
24836014,1,demograph,demographic
24836014,4,newscast,newscast
24836014,2,werner,werner
24836014,1,weeknight,weeknights
24836014,3,syndic,syndicated
24836014,2,tv,tv
24836014,1,tarnish,tarnish
24836014,1,oz,oz
24836014,1,assert,asserted
24836014,1,light-heart,light-hearted
24836014,1,telepictur,telepictures
24836014,2,ellen,ellen
24836014,10,cnn,cnn
24836014,1,pop,pop
24836014,1,envis,envisioning
24836014,1,25-,25-
24836014,1,54-year-old,54-year-old
24836014,1,reshap,reshaping
24836014,1,journalist,journalist
24836014,5,winfrey,winfrey
24836014,1,credenti,credentials
24836014,1,celebr,celebrity
24836014,4,mcloughlin,mcloughlin
24836014,2,oprah,oprah
24836014,1,exit,exit
24836014,1,signatur,signature
24836014,2,degener,degeneres
24836014,1,brand,brand
24836014,1,forthcom,forthcoming
24836014,1,softer,softer
24836014,1,mole,mole
24836014,1,assuag,assuage
24836014,1,hilari,hilary
24836014,1,acknowledg,acknowledged
24836014,1,dilut,dilute
24836014,1,beset,beset
24836014,4,anderson,anderson
24836014,1,kelli,kelly
24836014,5,daytim,daytime
24836014,1,regi,regis
24836014,8,warner,warner
24836014,1,vacant,vacant
24836014,1,hard-nos,hard-nosed
24836014,1,silver-hair,silver-haired
24836014,1,estey,estey
24836014,1,post-oprah,post-oprah
24836014,1,dart,dart
24836014,1,ken,ken
24836014,2,expir,expire
24836014,1,anchor,anchor
24836014,1,premium,premium
24836014,1,hourlong,hourlong
24836014,1,renew,renewed
24836014,1,bless,blessing
24836014,1,abc,abc
24836015,1,government-guarante,government-guaranteed
24836015,1,treasuri,treasury
24836015,1,ultrasaf,ultrasafe
24836015,1,vibrant,vibrant
24836015,1,disclosur,disclosure
24836015,1,aaa-rat,aaa-rated
24836015,1,bogus,bogus
24836015,2,aaa,aaa
24836015,7,deposit,deposit
24836015,1,unrel,unrelated
24836015,1,leverag,leveraged
24836015,1,recurr,recurrence
24836015,2,recov,recover
24836015,4,tranch,tranches
24836015,2,insolv,insolvent
24836015,1,floyd,floyd
24836015,1,mae,mae
24836015,1,borrow,borrowers
24836015,1,moribund,moribund
24836015,2,lend,lending
24836015,2,lowest,lowest
24836015,8,mortgag,mortgage
24836015,1,guarante,guaranteed
24836015,1,low-cost,low-cost
24836015,1,shambl,shambles
24836015,1,uninsur,uninsured
24836015,2,professor,professor
24836015,1,loan-level,loan-level
24836015,1,government-sponsor,government-sponsored
24836015,1,information-insensit,information-insensitive
24836015,1,mandat,mandated
24836015,1,buyer,buyers
24836015,3,harbor,harbor
24836015,2,mortgage-back,mortgage-backed
24836015,2,yale,yale
24836015,3,freddi,freddie
24836015,1,vigil,vigilant
24836015,1,obama,obama
24836015,3,collater,collateral
24836015,1,depositor,depositors
24836015,1,government-own,government-owned
24836015,1,conundrum,conundrum
24836015,1,high-qual,high-quality
24836015,1,kick,kick
24836015,1,dodd-frank,dodd-frank
24836015,1,twenty-on,twenty-one
24836015,1,risk-avers,risk-averse
24836015,1,nytim,nytimes
24836015,1,andrew,andrew
24836015,1,safer,safer
24836015,2,shrink,shrinking
24836015,1,albeit,albeit
24836015,1,washington,washington
24836015,1,forgotten,forgotten
24836015,3,fanni,fannie
24836015,1,old-fashion,old-fashioned
24836015,2,asset,assets
24836015,1,saver,savers
24836015,1,monetari,monetary
24836015,1,reopen,reopened
24836015,1,mac,mac
24836015,1,gari,gary
24836015,1,recess,recession
24836015,1,regulatori,regulatory
24836015,1,freeli,freely
24836015,1,yesteryear,yesteryear
24836015,1,congress,congress
24836015,1,unsaf,unsafe
24836015,1,junk,junk
24836015,3,economi,economy
24836015,2,econom,economic
24836015,1,dilig,diligence
24836015,1,oxford,oxford
24836015,1,subdu,subdued
24836015,1,metrick,metrick
24836015,1,slap,slapped
24836015,1,jumbo,jumbo
24836015,1,handwring,handwringing
24836015,6,repo,repos
24836015,1,thrive,thriving
24836015,4,crisi,crisis
24836015,1,collaps,collapse
24836015,1,bankruptci,bankruptcies
24836015,1,fri,fries
24836015,2,norri,norris
24836015,1,stiffer,stiffer
24836015,1,default,defaults
24836015,6,investor,investors
24836015,17,securit,securitization
24836015,1,sir,sir
24836015,1,paradox,paradoxes
24836015,1,liquefi,liquefy
24836015,1,corpor,corporate
24836015,1,debt,debt
24836015,1,commiss,commission
24836015,1,devast,devastation
24836015,1,stimul,stimulative
24836015,1,riski,risky
24836015,1,broader,broader
24836015,1,invis,invisible
24836015,1,broaden,broadened
24836015,1,reinvigor,reinvigorate
24836015,1,lent,lent
24836015,1,umbrella,umbrella
24836155,1,chines,chinese
24836155,1,biographi,biography
24836155,1,evok,evoke
24836155,1,takeout,takeout
24836155,2,shorti,shorty
24836155,2,chef,chef
24836155,1,york,york
24836155,1,the,the
24836155,1,sifton,sifton
24836155,1,three-star,three-star
24836155,1,shanghai-styl,shanghai-style
24836155,3,photograph,photographs
24836155,4,noodl,noodles
24836155,2,recip,recipe
24836155,2,gilley,gilley
24836155,1,eng,eng
24836155,1,recollect,recollections
24836155,1,grandson,grandson
24836155,3,sesam,sesame
24836155,1,ricewinevinegar,ricewinevinegar
24836155,1,time,times
24836155,6,tang,tang
24836155,1,mimi,mimi
24836155,1,sam,sam
24836155,1,chinatown,chinatown
24836155,1,broadway,broadway
24836155,1,new,new
24836155,1,lok,lok
24836155,1,sheraton,sheraton
24836155,1,cenicola,cenicola
24836155,1,toni,tony
